value,coordinates,sensor_id,flagInfo.hasFlags,parameter.id,parameter.name,parameter.units,parameter.displayName,period.label,period.interval,period.datetimeFrom.utc,period.datetimeFrom.local,period.datetimeTo.utc,period.datetimeTo.local,summary.min,summary.q02,summary.q25,summary.median,summary.q75,summary.q98,summary.max,summary.avg,summary.sd,coverage.expectedCount,coverage.expectedInterval,coverage.observedCount,coverage.observedInterval,coverage.percentComplete,coverage.percentCoverage,coverage.datetimeFrom.utc,coverage.datetimeFrom.local,coverage.datetimeTo.utc,coverage.datetimeTo.local
19.6,,8539597,False,2,pm25,µg/m³,,1day,24:00:00,2024-04-10T15:00:00Z,2024-04-11T00:00:00+09:00,2024-04-11T15:00:00Z,2024-04-12T00:00:00+09:00,11.0,11.460000038146973,15.0,18.5,23.5,29.15999984741211,31.0,19.58333396911621,5.282593727111816,24,24:00:00,24,24:00:00,100.0,100.0,2024-04-10T16:00:00Z,2024-04-11T01:00:00+09:00,2024-04-11T15:00:00Z,2024-04-12T00:00:00+09:00
25.0,,8539597,False,2,pm25,µg/m³,,1day,24:00:00,2024-04-11T15:00:00Z,2024-04-12T00:00:00+09:00,2024-04-12T15:00:00Z,2024-04-13T00:00:00+09:00,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,,24,24:00:00,1,01:00:00,4.0,4.0,2024-04-11T16:00:00Z,2024-04-12T01:00:00+09:00,2024-04-11T16:00:00Z,2024-04-12T01:00:00+09:00
575.0,,8539597,False,2,pm25,µg/m³,,1day,24:00:00,2024-04-12T15:00:00Z,2024-04-13T00:00:00+09:00,2024-04-13T15:00:00Z,2024-04-14T00:00:00+09:00,11.0,11.34000015258789,18.25,21.5,25.5,6609.2001953125,9999.0,575.0555419921875,2351.912353515625,24,24:00:00,18,18:00:00,75.0,75.0,2024-04-12T22:00:00Z,2024-04-13T07:00:00+09:00,2024-04-13T15:00:00Z,2024-04-14T00:00:00+09:00
18.6,,8539597,False,2,pm25,µg/m³,,1day,24:00:00,2024-04-13T15:00:00Z,2024-04-14T00:00:00+09:00,2024-04-14T15:00:00Z,2024-04-15T00:00:00+09:00,13.0,13.0,15.75,18.0,22.0,25.079999923706055,26.0,18.625,3.8426949977874756,24,24:00:00,24,24:00:00,100.0,100.0,2024-04-13T16:00:00Z,2024-04-14T01:00:00+09:00,2024-04-14T15:00:00Z,2024-04-15T00:00:00+09:00
1260.0,,8539597,False,2,pm25,µg/m³,,1day,24:00:00,2024-04-14T15:00:00Z,2024-04-15T00:00:00+09:00,2024-04-15T15:00:00Z,2024-04-16T00:00:00+09:00,6.0,6.0,12.75,17.5,26.25,9999.0,9999.0,1264.625,3372.2939453125,24,24:00:00,24,24:00:00,100.0,100.0,2024-04-14T16:00:00Z,2024-04-15T01:00:00+09:00,2024-04-15T15:00:00Z,2024-04-16T00:00:00+09:00
1280.0,,8539597,False,2,pm25,µg/m³,,1day,24:00:00,2024-04-15T15:00:00Z,2024-04-16T00:00:00+09:00,2024-04-16T15:00:00Z,2024-04-17T00:00:00+09:00,9.0,9.0,20.75,34.5,44.25,9999.0,9999.0,1276.0416259765625,3367.900634765625,24,24:00:00,24,24:00:00,100.0,100.0,2024-04-15T16:00:00Z,2024-04-16T01:00:00+09:00,2024-04-16T15:00:00Z,2024-04-17T00:00:00+09:00
83.2,,8539597,False,2,pm25,µg/m³,,1day,24:00:00,2024-04-16T15:00:00Z,2024-04-17T00:00:00+09:00,2024-04-17T15:00:00Z,2024-04-18T00:00:00+09:00,42.0,42.459999084472656,55.75,94.5,104.75,122.08000183105469,123.0,83.16666412353516,28.492053985595703,24,24:00:00,24,24:00:00,100.0,100.0,2024-04-16T16:00:00Z,2024-04-17T01:00:00+09:00,2024-04-17T15:00:00Z,2024-04-18T00:00:00+09:00
1750.0,,8539597,False,2,pm25,µg/m³,,1day,24:00:00,2024-04-17T15:00:00Z,2024-04-18T00:00:00+09:00,2024-04-18T15:00:00Z,2024-04-19T00:00:00+09:00,66.0,67.83999633789062,78.0,97.5,148.25,9999.0,9999.0,1750.4166259765625,3768.323486328125,24,24:00:00,24,24:00:00,100.0,100.0,2024-04-17T16:00:00Z,2024-04-18T01:00:00+09:00,2024-04-18T15:00:00Z,2024-04-19T00:00:00+09:00
5440.0,,8539597,False,2,pm25,µg/m³,,1day,24:00:00,2024-04-18T15:00:00Z,2024-04-19T00:00:00+09:00,2024-04-19T15:00:00Z,2024-04-20T00:00:00+09:00,38.0,38.459999084472656,45.5,9999.0,9999.0,9999.0,9999.0,5436.125,5067.0556640625,24,24:00:00,24,24:00:00,100.0,100.0,2024-04-18T16:00:00Z,2024-04-19T01:00:00+09:00,2024-04-19T15:00:00Z,2024-04-20T00:00:00+09:00
26.3,,8539597,False,2,pm25,µg/m³,,1day,24:00:00,2024-04-19T15:00:00Z,2024-04-20T00:00:00+09:00,2024-04-20T15:00:00Z,2024-04-21T00:00:00+09:00,6.0,6.0,9.75,32.5,38.25,45.15999984741211,47.0,26.25,14.456080436706543,24,24:00:00,24,24:00:00,100.0,100.0,2024-04-19T16:00:00Z,2024-04-20T01:00:00+09:00,2024-04-20T15:00:00Z,2024-04-21T00:00:00+09:00
843.0,,8539597,False,2,pm25,µg/m³,,1day,24:00:00,2024-04-20T15:00:00Z,2024-04-21T00:00:00+09:00,2024-04-21T15:00:00Z,2024-04-22T00:00:00+09:00,2.0,2.9200000762939453,9.0,12.0,13.0,9999.0,9999.0,843.0416870117188,2820.002685546875,24,24:00:00,24,24:00:00,100.0,100.0,2024-04-20T16:00:00Z,2024-04-21T01:00:00+09:00,2024-04-21T15:00:00Z,2024-04-22T00:00:00+09:00
17.3,,8539597,False,2,pm25,µg/m³,,1day,24:00:00,2024-04-21T15:00:00Z,2024-04-22T00:00:00+09:00,2024-04-22T15:00:00Z,2024-04-23T00:00:00+09:00,12.0,12.920000076293945,15.75,17.5,19.0,21.0,21.0,17.33333396911621,2.443565845489502,24,24:00:00,24,24:00:00,100.0,100.0,2024-04-21T16:00:00Z,2024-04-22T01:00:00+09:00,2024-04-22T15:00:00Z,2024-04-23T00:00:00+09:00
849.0,,8539597,False,2,pm25,µg/m³,,1day,24:00:00,2024-04-22T15:00:00Z,2024-04-23T00:00:00+09:00,2024-04-23T15:00:00Z,2024-04-24T00:00:00+09:00,5.0,7.300000190734863,16.75,18.5,21.25,9999.0,9999.0,849.2916870117188,2818.07861328125,24,24:00:00,24,24:00:00,100.0,100.0,2024-04-22T16:00:00Z,2024-04-23T01:00:00+09:00,2024-04-23T15:00:00Z,2024-04-24T00:00:00+09:00
1680.0,,8539597,False,2,pm25,µg/m³,,1day,24:00:00,2024-04-23T15:00:00Z,2024-04-24T00:00:00+09:00,2024-04-24T15:00:00Z,2024-04-25T00:00:00+09:00,3.0,4.840000152587891,9.75,12.5,15.25,9999.0,9999.0,1675.9166259765625,3802.253662109375,24,24:00:00,24,24:00:00,100.0,100.0,2024-04-23T16:00:00Z,2024-04-24T01:00:00+09:00,2024-04-24T15:00:00Z,2024-04-25T00:00:00+09:00
11.6,,8539597,False,2,pm25,µg/m³,,1day,24:00:00,2024-04-24T15:00:00Z,2024-04-25T00:00:00+09:00,2024-04-25T15:00:00Z,2024-04-26T00:00:00+09:00,5.0,5.460000038146973,7.75,11.0,16.0,19.15999984741211,21.0,11.625,4.40170431137085,24,24:00:00,24,24:00:00,100.0,100.0,2024-04-24T16:00:00Z,2024-04-25T01:00:00+09:00,2024-04-25T15:00:00Z,2024-04-26T00:00:00+09:00
